image_path,label
/content/drive/MyDrive/faceforensics_benchmark_images/0000.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0001.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0002.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0003.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0004.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0005.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0006.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0007.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0008.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0009.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0010.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0011.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0012.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0013.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0014.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0015.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0016.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0017.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0018.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0019.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0020.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0021.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0022.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0023.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0024.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0025.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0026.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0027.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0028.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0029.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0030.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0031.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0032.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0033.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0034.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0035.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0036.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0037.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0038.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0039.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0040.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0041.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0042.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0043.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0044.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0045.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0046.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0047.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0048.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0049.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0050.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0051.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0052.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0053.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0054.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0055.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0056.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0057.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0058.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0059.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0060.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0061.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0062.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0063.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0064.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0065.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0066.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0067.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0068.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0069.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0070.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0071.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0072.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0073.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0074.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0075.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0076.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0077.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0078.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0079.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0080.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0081.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0082.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0083.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0084.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0085.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0086.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0087.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0088.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0089.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0090.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0091.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0092.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0093.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0094.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0095.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0096.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0097.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0098.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0099.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0100.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0101.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0102.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0103.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0104.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0105.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0106.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0107.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0108.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0109.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0110.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0111.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0112.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0113.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0114.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0115.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0116.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0117.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0118.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0119.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0120.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0121.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0122.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0123.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0124.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0125.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0126.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0127.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0128.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0129.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0130.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0131.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0132.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0133.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0134.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0135.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0136.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0137.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0138.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0139.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0140.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0141.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0142.png,0
/content/drive/MyDrive/faceforensics_benchmark_images/0143.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0144.png,1
/content/drive/MyDrive/faceforensics_benchmark_images/0145.png,1
